c_id,iso3,country,pop_thousands,pop_prob,sex_ratio,male_ratio,median_age,c_id-2,country-2,sub15,sub65,65plus,region
200,TJK,Tajikistan,10390,0.0012845,96.5,0.49,21.9,200, Tajikistan,0.3,0.658,0.042,Asia
201,TZA,Tanzania,66618,0.0082357,98.2,0.5,17.2,201, Tanzania,0.415,0.552,0.034,Africa
202,THA,Thailand,71702,0.0088643,95.1,0.49,39.7,202, Thailand,0.16,0.695,0.145,Asia
203,TLS,Timor-Leste,1384,0.0001711,101.6,0.5,21,203, Timor-Leste,0.391,0.566,0.043,Asia
204,TGO,Togo,9304,0.0011503,101.3,0.5,18.8,204, Togo,0.39,0.568,0.043,Africa
205,TON,Tonga,105,0.0000129,90.2,0.47,20.7,205, Tonga,0.299,0.628,0.073,Oceania
206,TTO,Trinidad and Tobago,1503,0.0001858,97.8,0.49,36.7,206, Trinidad and Tobago,0.19,0.674,0.136,North America
207,TUN,Tunisia,12200,0.0015083,97.8,0.49,32.1,207, Tunisia,0.248,0.653,0.1,Africa
208,TUR,Türkiye,87271,0.0107889,99.7,0.5,32.5,208, Turkey,0.221,0.686,0.093,Asia
209,TKM,Turkmenistan,7364,0.0009104,96.2,0.49,26.2,209, Turkmenistan,0.246,0.688,0.066,Asia
210,YCA,Turks and Caicos Islands,46,0.0000057,100.3,0.5,38.3,210, Turks and Caicos Islands,0.207,0.732,0.061,North America
211,TUV,Tuvalu,10,0.0000012,104.7,0.51,24.3,211, Tuvalu,0.293,0.633,0.074,Oceania
212,UGA,Uganda,48657,0.0060152,98.3,0.5,16.5,212, Uganda,0.473,0.503,0.024,Africa
213,UKR,Ukraine,37733,0.0046648,86.9,0.46,42,213, Ukraine,0.153,0.663,0.185,Europe
214,ARE,United Arab Emirates,10642,0.0013156,177.9,0.64,31.2,214, United Arab Emirates,0.162,0.818,0.02,Asia
215,GBR,United Kingdom,68683,0.008491,97,0.49,39.8,215, United Kingdom,0.173,0.634,0.193,Europe
216,USA,United States of America,343477,0.0424628,101,0.5,38,216, United States,0.178,0.635,0.187,North America
217,VIR,US Virgin Islands,86,0.0000106,91.5,0.48,44.7,217, Uruguay,0.19,0.656,0.154,South America
218,URY,Uruguay,3388,0.0004189,94.2,0.48,35.8,218, US Virgin Islands (US),0.191,0.6,0.209,North America
219,UZB,Uzbekistan,35652,0.0044076,101.8,0.5,26.9,219, Uzbekistan,0.225,0.706,0.069,Asia
220,VUT,Vanuatu,320,0.0000396,102,0.5,20.1,220, Vanuatu,0.317,0.634,0.049,Oceania
221,VEN,Venezuela (Bolivarian Republic of),28301,0.0034987,97.7,0.49,29,221, Venezuela,0.251,0.66,0.089,South America
222,VNM,Viet Nam,100352,0.0124062,96,0.49,32.4,222, Vietnam,0.234,0.687,0.079,Asia
223,WLF,Wallis and Futuna Islands,11,0.0000014,91.1,0.48,37.2,223, Wallis and Futuna,0.2,0.679,0.122,Oceania
224,YEM,Yemen,39391,0.0048697,102.6,0.51,18.2,224, Yemen,0.351,0.615,0.033,Asia
225,ZMB,Zambia,20724,0.002562,98,0.49,17.5,225, Zambia,0.425,0.548,0.027,Africa
226,ZWE,Zimbabwe,16341,0.0020202,90.9,0.48,17.8,226, Zimbabwe,0.382,0.573,0.045,Africa
